,Location,kids_0_18,adults_19_25,adults_26_34,adults_35_54,adults_55_64,adults_over_65,white,black,hispanic,asian,amer_ind_ak,nat_haw_pac_is,two_or_more_r,median_hhi,craft_barr_produced,craft_gal_per_adult,b_per_capita
29,NE,0.26667022013751934,0.10271307499600235,0.12318106710729705,0.24289750013325515,0.1024465646820532,0.16209157294387294,0.7853964509730338,0.03951107060526457,0.13456280491073822,0.025357851283975767,0.0,0.0,0.015171822226987616,59374.0,46805.0,1.1,3.4161942142753308
30,NH,0.21485471512024884,0.08785372885213565,0.10947576056444883,0.25430543964797814,0.16136863667400045,0.1721417191411881,0.9220246238030095,0.013527891776865785,0.02652378780969752,0.020595835233318132,0.0,0.0,0.017327861377108983,76260.0,100164.0,3.1,7.053821625277805
31,NJ,0.23460430435519403,0.08797378975314918,0.11461334237134949,0.268101451731345,0.1383833248601932,0.15633508444896346,0.5835485522498436,0.12914272711758348,0.17880425507708061,0.10850446555549235,0.0,0.0,0.0,68468.0,111416.0,0.5,1.4169950847982997
32,NM,0.2553545232273839,0.10039119804400978,0.11300733496332518,0.24136919315403424,0.13877750611246945,0.15105134474327628,0.4305285991551547,0.02431784450279712,0.5332800548007763,0.0,0.0,0.0,0.011873501541271834,48451.0,111237.0,2.3,5.6474914630943
33,NV,0.2475876596901332,0.08555313944006523,0.12972275074748574,0.2510872519706442,0.12530578961674368,0.16074340853492797,0.5331094880404306,0.08733427948354044,0.27290664266675896,0.07798816158399391,0.0,0.0,0.028661428225276057,55431.0,52828.0,0.8,1.9869044931135695
34,NY,0.22570743700692422,0.09190393331382844,0.13780200489675243,0.25932256458426367,0.12018601499822916,0.16508831092838114,0.5667535431735115,0.14053431622020368,0.18212194582812846,0.09497298603293082,0.0033722478396537277,0.0,0.01224496090557192,61437.0,1000785.0,2.1,2.6118660921445147
35,OH,0.2434277642627325,0.09123091544813275,0.12397220260360808,0.2472730126343875,0.13763547742987436,0.15646934700532755,0.7861656135683406,0.12021948786165614,0.044133863091383264,0.02116990180806189,0.0,0.0,0.02831113367055817,53985.0,1373041.0,5.1,2.7198653897129157
36,OK,0.2608706740455484,0.07946749636581571,0.13853255464027953,0.2451352936675933,0.12116497921501619,0.15485450511336105,0.6590549936788875,0.07524757690686894,0.11933733670459334,0.0,0.0837810788032027,0.0,0.06257901390644753,50943.0,47847.0,0.5,0.8971085501345663
37,OR,0.2258728390876955,0.08377318289671203,0.10568495472374219,0.2833034719868287,0.132027504721321,0.16933804658370055,0.759511137394047,0.019662921348314606,0.14456436033904987,0.03681253696037847,0.0,0.0,0.03944904395821013,59135.0,1149150.0,11.8,9.508022393894848
38,PA,0.2258498634325803,0.09058043144156268,0.12105527198018777,0.24486578169916945,0.13938636236950447,0.17826228907699534,0.763669021674051,0.10814672893465853,0.06837504490480183,0.04025066858260488,0.0,0.0,0.019558535903883765,60979.0,3905620.0,12.9,3.425326846127735
39,RI,0.2059186189889026,0.09048657877264536,0.12396850991178981,0.2651048088779285,0.1469221284264441,0.16759935502228968,0.7348787377033213,0.06126424466738093,0.1653842407714035,0.03847277685789422,0.0,0.0,0.0,61528.0,27075.0,1.1,2.0305781175346396
40,SC,0.24105614864314237,0.08353027463124439,0.11441610300708989,0.25782332328253604,0.13548203080433543,0.16769211963165187,0.6624025543207829,0.26642063360424617,0.04776911593962514,0.023407696135345827,0.0,0.0,0.0,54336.0,101194.0,0.9,1.5838075808010308
41,SD,0.2679448211363105,0.09375730652326397,0.11246200607902736,0.22083235913023147,0.12836100070142623,0.176759410801964,0.9026880330834841,0.023132592401137245,0.05246833807185319,0.0,0.0,0.0,0.02171103644352546,57450.0,10029.0,0.5,3.3535611625678694
42,TN,0.2322410512278809,0.09488919854362386,0.12837685980132152,0.245711032199098,0.13628803883669707,0.16250880268500623,0.7323334034686946,0.16740809762842285,0.05943971865700803,0.02141633352370074,0.0,0.0,0.019402446722173797,51344.0,250247.0,1.6,1.9710778478171778
43,TX,0.2793201624441779,0.09957654676051046,0.13296142673391817,0.2524966398335092,0.11310753978003556,0.12253768444784877,0.4318249220597915,0.12103698452769318,0.383162021599022,0.04767915397802484,0.003200792783930212,0.0,0.013096125051538189,58146.0,1165579.0,1.9,1.3335739782617415
44,UT,0.3127902068383284,0.10686105789524954,0.13556515244991396,0.2376854888463162,0.09487937136734098,0.11221872260285093,0.803988022769899,0.011417853969925307,0.14675397321575467,0.01780132276002764,0.0,0.0,0.020038827284393407,67481.0,199220.0,3.2,1.6065016065016064
45,VA,0.2462874617737003,0.0888440366972477,0.12232415902140673,0.2707033639143731,0.1316330275229358,0.1402079510703364,0.6153742347846356,0.18406879884190253,0.10798277575356079,0.06530246709113884,0.0,0.0,0.02727172352876228,66451.0,257645.0,1.3,3.3919761101012726
46,VT,0.21092369477911646,0.09477911646586346,0.09959839357429719,0.2557429718875502,0.15839357429718876,0.18056224899598394,0.9545305855413805,0.011939810271508014,0.009813542688910697,0.0,0.0,0.0,0.023716061498200852,60837.0,295717.0,19.8,14.86156351791531
47,WA,0.23582694969372234,0.10094144409576145,0.1273210639551615,0.2555602757184164,0.12607402737998985,0.15427623915694846,0.67838876487044,0.034643533301308316,0.14391477577778405,0.10296984938822798,0.0,0.0,0.04008307666223968,70310.0,467270.0,2.7,7.603471773904311
48,WI,0.24212205823693658,0.09287039766913512,0.11135776347964829,0.2455559216801651,0.14808969667539584,0.16000416225871905,0.807718561302179,0.05630524197077098,0.08423908287389516,0.030506694670517195,0.0,0.0,0.021230419182637614,59817.0,974538.0,7.3,4.965675057208238
49,WV,0.21950278374951768,0.08941072708229976,0.10258530400749682,0.25836502949120776,0.1453062124469434,0.1847748194697095,0.9522597431981447,0.03529611403359918,0.012444142768256124,0.0,0.0,0.0,0.0,44354.0,14682.0,0.3,1.6950349600960521
50,WY,0.2669232114745496,0.08081161448312052,0.12121742172468078,0.24313451110722406,0.14185761763162497,0.14605562357880006,0.8761188686000716,0.007160759040458289,0.09649122807017543,0.0,0.0,0.0,0.020229144289294666,57829.0,31357.0,2.3,7.874015748031495
